rodada,event_id,casa,fora,gols_casa,gols_fora,resultado_casa,resultado_fora,xg_casa,xg_fora,chutes_casa,chutes_fora,chutes_no_gol_casa,chutes_no_gol_fora,escanteios_casa,escanteios_fora,posse_casa,posse_fora,grandes_chances_casa,grandes_chances_fora,faltas_casa,faltas_fora,cartoes_amarelos_casa,cartoes_amarelos_fora
8,15237964,Remo,Bahia,4,1,V,D,1.56,1.56,16,11,10,3,5,9,38,62,5,3,15,10,3,1
8,15237956,Vasco,Grêmio,2,1,V,D,1.6,0.54,10,9,5,3,0,2,37,63,4,1,11,4,3,1
8,15237961,Internacional,Chapecoense,2,0,V,D,3.69,0.46,14,10,7,0,4,4,48,52,5,0,16,9,2,3
8,15237963,Vitória,Mirassol,1,0,V,D,0.63,0.84,13,14,6,3,4,5,40,60,0,2,18,8,3,3
8,15237958,Corinthians,Flamengo,1,1,E,E,1.62,0.35,13,10,2,2,6,2,54,46,1,1,21,13,2,3
9,15237966,Botafogo,Mirassol,3,2,V,D,2.66,1.08,11,19,5,4,2,8,35,65,4,1,14,14,3,3
9,15237971,Internacional,São Paulo,1,1,E,E,0.92,0.96,6,15,4,3,2,11,34,66,2,2,18,15,1,1
9,15237973,Bahia,Athletico,3,0,V,D,1,0.58,7,12,5,4,3,1,52,48,3,1,15,19,2,2
9,15237970,Cruzeiro,Vitória,3,0,V,D,1.94,0.12,11,4,6,1,5,6,59,41,2,0,15,12,1,3
9,15237972,Coritiba,Vasco,1,1,E,E,1.58,0.51,18,11,4,2,3,4,65,35,1,0,11,11,2,1
9,15237965,Fluminense,Corinthians,3,1,V,D,2.14,0.56,20,12,10,4,8,10,61,39,4,1,10,13,1,4
9,15235602,Chapecoense,Atlético-MG,0,4,D,V,2.09,1.74,19,20,4,8,7,3,45,55,4,3,19,5,1,0
9,15237967,Santos,Remo,2,0,V,D,1.33,0.39,7,11,3,4,7,4,58,42,2,1,17,14,4,2
9,15237968,Palmeiras,Grêmio,2,1,V,D,0.64,0.54,16,10,4,5,8,2,60,40,,,12,15,0,3
9,15237969,RB Bragantino,Flamengo,3,0,V,D,1.72,0.27,18,7,6,1,7,5,56,44,3,1,12,12,4,1
10,15235504,São Paulo,Cruzeiro,4,1,V,D,2.01,1.52,11,14,5,7,6,4,36,64,3,2,21,14,2,0
10,15235507,Coritiba,Fluminense,1,1,E,E,0.68,1.37,10,15,4,4,3,10,33,67,1,3,8,14,1,0
10,15235514,Vasco,Botafogo,1,2,D,V,2.41,1.19,17,18,5,9,3,2,63,37,4,2,11,16,2,4
10,15235513,Chapecoense,Vitória,1,1,E,E,2.15,1.45,25,15,6,9,9,1,58,42,3,3,16,14,2,3
10,15235503,Atlético-MG,Athletico,2,1,V,D,1.29,0.43,15,11,5,3,2,8,49,51,,,9,13,0,1
10,15235603,Flamengo,Santos,3,1,V,D,2.29,0.77,19,17,4,2,2,7,63,37,5,0,2,12,0,2
10,15235511,Bahia,Palmeiras,1,2,D,V,1.21,0.29,19,8,6,5,7,5,59,41,1,1,18,17,2,4
10,15235509,Corinthians,Internacional,0,1,D,V,1.35,0.37,11,8,2,3,7,4,65,35,2,0,16,19,2,3
10,15235518,Mirassol,RB Bragantino,0,1,D,V,0.68,1.91,15,16,2,5,12,6,54,46,1,4,7,10,2,3
10,15235505,Grêmio,Remo,0,0,E,E,0.84,2.09,20,11,3,4,8,3,63,37,0,2,8,9,2,3
11,15235542,Remo,Vasco,1,1,E,E,0.71,1.33,12,19,2,3,3,6,43,57,2,1,12,10,0,2
11,15235517,Vitória,São Paulo,2,0,V,D,1.35,0.67,15,16,6,5,1,6,41,59,2,2,11,11,2,3
